┼进制	十进制
阿巴日嗄旗	阿巴日嘎旗
阿尔发粒	阿尔法粒子
阿尔太山	阿尔泰山
阿耳发	阿尔法
阿公店水	阿公店水库
阿基米得原理	阿基米德原理
阿加尼压	阿加尼亚
阿们	阿门
阿帕拉契山径	阿帕拉契山脉
阿赛拜疆	阿塞拜疆
阿司匹灵	阿司匹林
阿斯匹林	阿司匹林
阿斯匹灵	阿司匹林
阿呀	啊呀
哀肠寸断	肝肠寸断
哀声叹气	唉声叹气
哀恸不已	哀痛不已
唉呀	哎呀
唉哟	哎哟
埃个儿	挨个儿
捱肩擦背	挨肩擦背
嗳呀	哎呀
蔼然可观	蔼然可亲
霭然	蔼然
霭然可亲	蔼然可亲
艾莉丝	艾丽丝
艾丽丝	艾丽丝
艾丽斯	艾丽丝
艾文格	艾文荷
爱得华	爱德华
爱护倍至	爱护备至
爱口失羞	碍口识羞
爱口识羞	碍口识羞
爱寞能助	爱莫能助
爱幕	爱慕
爱如已出	爱如己出
爱窝窝	艾窝窝
爱乌及屋	爱屋及乌
爱屋及鸟	爱屋及乌
爱物及乌	爱屋及乌
爱则加诸膝恶则坠诸渊	爱则加诸膝，恶则坠诸渊
爱增分明	爱憎分明
爱之欲其生恶之欲其死	爱之欲其生，恶之欲其死
爱滋	艾滋
爱滋病	艾滋病
爱滋病病毒	艾滋病病毒
爱滋病患者	艾滋病患者
暧色	暖色
安兵不动	按兵不动
安步当年	安步当车
安部就班	按部就班
安常習故	安常习故
安地斯山	安第斯山
安非他明	安非他命
安分守纪	安分守己
安份	安分
安份守己	安分守己
安富恤究	安富恤穷
安哥位	安哥拉
安格拉	安哥拉
安格鲁萨克逊	盎格鲁萨克逊
安眠葯	安眠药
安捺	按捺
安如盘石	安如磐石
安如太山	安如泰山
安祥	安详
安心落意	安心乐意
安溢	安谧
安于故俗溺于旧闻	安于故俗，溺于旧闻
安于盘石	安于磐石
安於盘石	安于磐石
安於现状	安于现状
安之若泰	安之若素
安之偌素	安之若素
安置若素	安之若素
鞍不离马甲不离身	鞍不离马，甲不离身
鞍前马後	鞍前马后
闇室不欺	暗室不欺
闇无天日	暗无天日
垵子	埯子
按步就班	按部就班
按健	按键
按纳	按捺
按耐	按捺
按图索迹	按图索骥
按途索骥	按图索骥
按验	案验
按装	安装
按装机器	安装机器
案语	按语
胺基酸	氨基酸
暗暗忖思	暗暗思忖
暗度陈仓	暗渡陈仓
暗度陈昌	暗渡陈仓
暗茂	暗藏
暗然	黯然
暗然神伤	黯然神伤
暗然失色	黯然失色
暗然消魂	黯然销魂
暗然销魂	黯然销魂
黯然消魂	黯然销魂
盎斯	盎司
熬恼	懊恼
熬清受淡	熬清守淡
翱游四海	遨游四海
鼇里夺尊	鳌里夺尊
鼇头独占	鳌头独占
鼇掷鲸呿	鳌掷鲸呿
鼇掷鲸吞	鳌掷鲸吞
奥大利亚	澳大利亚
奥得河	奥德河
奥勒冈州	俄勒冈州
奥秒	奥妙
奥塞罗	奥赛罗
奥斯戮	奥斯陆
澳地利	奥地利
懊憹	懊恼
八公山上草木皆兵	八公山上，草木皆兵
八面⒙珑	八面玲珑
八拿马	巴拿马
八仙过海各显其能	八仙过海，各显其能
八仙过海各显神通	八仙过海，各显神通
八字贴	八字帖
八字贴儿	八字帖儿
巴高枝兒	巴高枝儿
巴焦	芭蕉
巴蕾午团	芭蕾舞团
巴罗克	巴洛克
巴那马	巴拿马
叭儿狗	巴儿狗
扒犁	爬犁
疤拉	疤瘌
拔粹	拔萃
拔打	拨打
拔电话	拨电话
拔动	拨动
拔付	拨付
拔给	拨给
拔号上网	拨号上网
拔号网络	拨号网络
拔户	跋扈
拔扈	跋扈
拔回	拨回
拔叫	拨叫
拔款	拨款
拔乱反正	拨乱反正
拔茅连茹	拔毛连茹
拔弄	拨弄
拔入	拨入
拔涉	跋涉
拔通	拨通
拔用	拨用
拔宅飞昇	拔宅飞升
拔宅上昇	拔宅上升
跋户	跋扈
跋前踕後	跋前踕后
跋前疐後	跋前疐后
跋前踬后	跋前疐后
跋前踬後	跋前踬后
跋涉水	跋山涉水
把当做	把当作
把势	把式
罢于奔命	疲于奔命
罢於奔命	罢于奔命
白壁微暇	白璧微瑕
白壁微瑕	白璧微瑕
白壁无暇	白璧无瑕
白壁无瑕	白璧无瑕
白璧无暇	白璧无瑕
白川归海	百川归海
白癫风	白癜风
白癫疯	白癜风
白花功夫	白花工夫
白袷蓝衫	白夹蓝衫
白驹过郄	白驹过隙
白驹过郤	白驹过隙
白濛濛	白蒙蒙
白日飞昇	白日飞升
白日上昇	白日上升
白日昇天	白日升天
白日作梦	白日做梦
白沙糖	白砂糖
白沙在涅与之俱黑	白沙在涅，与之俱黑
白首空望	白首空归
白头携老	白头偕老
百般推委	百般推诿
百步川杨	百步穿杨
百步穿场	百步穿杨
百步穿扬	百步穿杨
百尺杆头	百尺竿头
百尺竿头更进一步	百尺竿头，更进一步
百废具举	百废俱举
百废具兴	百废俱兴
百废具作	百废俱作
百感交加	百感交集
百家争呜	百家争鸣
百孔千窗	百孔千疮
百孔千创	百孔千疮
百练成钢	百炼成钢
百链成钢	百炼成钢
百慕达	百慕大
百年不迂	百年不遇
百年难迂	百年难遇
百舍重茧	百舍重趼
百万买宅千万买邻	百万买宅，千万买邻
百无聊奈	百无聊赖
百无一见	百无一用
百无一事	百无一是
百务具举	百务俱举
百页窗	百叶窗
百衣百随	百依百随
百战不怠	百战不殆
百摺裙	百褶裙
百足之虫死而不僵	百足之虫，死而不僵
百足之蟲	百足之虫
摆脱漩涡	摆脱旋涡
败家仔	败家子
败事有馀，成事不足	败事有余，成事不足
败也肖何	败也萧何
败由	败因
败於垂成	败于垂成
拜倒石榴裙之下	石榴裙之下
稗益	裨益
扳龙附凤	攀龙附凤
扳起脸孔	板起脸孔
扳谈	攀谈
班白	斑白
班驳	斑驳
班驳陆离	斑驳陆离
班駮陆离	斑驳陆离
班斓	斑斓
班马	斑马
班配	般配
般缠	盘缠
颁白	斑白
斑駮陆离	斑驳陆离
斑谰炫目	斑斓炫目
搬不倒	扳不倒
搬脣递舌	搬唇递舌
搬脣弄舌	搬唇弄舌
搬门弄斧	班门弄斧
板上丁丁	板上钉钉
板上走丸	坂上走丸
板粟	板栗
板筑	版筑
办公枱	办公台
半璧江山	半壁河山
半工半续	半工半读
半节话	半截话
半身不摄	半身不遂
半统靴	半筒靴
半途而癈	半途而废
半响	半晌
伴时宰相	伴食宰相
邦助邦助	帮助帮助
帮閒钻懒	帮闲钻懒
傍观冷眼	旁观冷眼
傍观者清	旁观者清
傍观者审，当局者迷	旁观者审，当局者迷
傍徨	彷徨
傍门左道	旁门左道
傍若无人	旁若无人
傍系	旁系
棒棰	棒槌
棒锤	棒槌
徬徨	彷徨
徬徨失措	彷徨失措
包罗万像	包罗万象
苞藏祸心	包藏祸心
苞谷	包谷
苞米	包米
胞子	孢子
褒庇	包庇
襃衣博带	褒衣博带
宝茂	宝藏
宝臧	宝藏
饱食终日无所用心	饱食终日，无所用心
饱有偏见	抱有偏见
饱涨	饱胀
保镳	保镖
保残守缺	抱残守缺
保护人身分	保护人身份
保茂	保藏
保母	保姆
保票	包票
保祐	保佑
褓母	保姆
褓姆	保姆
报仇血耻	报仇雪耻
报导	报道
报导文学	报道文学
报道失时	报道失实
报国之材	报国之才
报消车费	报销车费
报帐	报账
报竹平安	竹报平安
抱关执籥	抱关执龠
抱甕灌园	抱瓮灌园
鲍鱼之次	鲍鱼之肆
暴发力	爆发力
暴光	曝光
暴戾姿睢	暴戾恣睢
暴殓天物	暴殄天物
暴露无疑	暴露无遗
暴腮龙门	曝鳃龙门
暴鳃龙门	曝鳃龙门
暴徙	暴徒
暴燥	暴躁
暴燥如雷	暴躁如雷
爆炸事业	爆炸事件
卑词厚礼	卑辞厚礼
卑恭屈膝	卑躬屈膝
卑躬曲膝	卑躬屈膝
杯盘狼籍	杯盘狼藉
悲忿	悲愤
悲愤填鹰	悲愤填膺
悲歌忼慨	悲歌慷慨
悲观主意	悲观主义
悲呜	悲鸣
揹包袱	背包袱
揹负	背负
揹黑锅	背黑锅
碑贴	碑帖
碑帖临摩	碑帖临摹
北彊	北疆
北山酒精	北山酒经
北辕適楚	北辕适楚
北辕適粤	北辕适粤
备分	备份
背不住	备不住
背褡子	背搭子
背道而弛	背道而驰
背晦	悖晦
背理	悖理
背谬	悖谬
背前面後	背前面后
倍藏艰辛	备尝艰辛
倍出	辈出
倍受欢迎	备受欢迎
倍受青睐	备受青睐
倍至	备至
悖时	背时
被褡子	背搭子
被发详狂	被发佯狂
被发阳狂	被发佯狂
被复	被覆
被徵召的	被征召的
被硃佩紫	被朱佩紫
辈份	辈分
本份	本分
本科文化	本科文凭
本未倒置	本末倒置
苯鸟先飞	笨鸟先飞
跰胝	胼胝
逼不得已	必不得已
逼上粱上	逼上梁山
鼻塌脣青	鼻塌唇青
比画	比划
比肩连袂	比肩联袂
比浓粘度	比浓黏度
比上不足，比下有馀	比上不足，比下有余
比上不足比下有余	比上不足，比下有余
比溼	比湿
比以任何时候都	比以往任何时候都
比以往任何时侯	比以往任何时候
比以往任何时侯都	比以往任何时候都
比粘度	比黏度
彼彼皆是	比比皆是
彼倡此和	彼唱此和
彼一时此一时	彼一时，此一时
俾阖	捭阖
俾阖纵横	捭阖纵横
笔划	笔画
笔门造车	闭门造车
笔名着作	笔名著作
笔谭	笔谈
笔下生辉	笔下生花
笔心	笔芯
鄙帚自珍	敝帚自珍
必恭必敬	毕恭毕敬
必竟	毕竟
必露	毕露
毕竞	毕竟
毕竞是	毕竟是
毕路篮缕	筚路蓝缕
闭关自首	闭关自守
哔哩啪啦	噼里啪啦
荜路兰缕	筚路蓝缕
荜路蓝缕	筚路蓝缕
荜路缕	筚路蓝缕
敝开	敞开
敝开肚子	敞开肚子
敝开着的	敞开着的
敝綈恶粟	敝绨恶粟
敝徙	敝屣
筚篥	觱篥
筚门闺窦	筚门圭窦
腷臆	愊忆
裨官	稗官
裨官野史	稗官野史
辟立千仞	壁立千仞
辟头	劈头
弊车赢马	弊车羸马
熚々剥剥	熚熚剥剥
碧雪丹心	碧血丹心
蔽帚自珍	敝帚自珍
壁还	璧还
篦麻油	蓖麻油
篦麻子	蓖麻子
觱栗	觱篥
避护	庇护
避护缺点	庇护缺点
避穽入坑	避阱入坑
避其锐气击其惰归	避其锐气，击其惰归
避日	蔽日
避署山庄	避暑山庄
避之惟恐不及	避之唯恐不及
边垂	边陲
边垂小镇	边陲小镇
编安	偏安
编篡	编纂
编篡者	编纂者
编篡字典	编纂字典
编辑按	编者按
编结鱼网	编结渔网
编者案	编者按
编织鱼网	编织渔网
编着	编著
萹豆	扁豆
煸情电影	煽情电影
煸情影片	煽情影片
鞭苔	鞭笞
鞭苔三百	鞭笞三百
贬眼	眨眼
稨豆	扁豆
藊豆	扁豆
抃风儛润	抃风舞润
拚了性命	拼了性命
拚死	拼死
拚死拚活	拼死拼活
拚死搏斗	拼死搏斗
拚死相斗	拼死相斗
拚他个	拼他个
变本加利	变本加厉
变本加励	变本加厉
变幻莫侧	变幻莫测
变换莫测	变幻莫测
变天帐	变天账
变宜	便宜
变宜行事	便宜行事
遍不	偏不
遍废	偏废
辨白	辩白
辨才无碍	辩才无碍
辨正论冶	辨证论治
辨正施冶	辩证施治
辨证法	辩证法
辨证法　	辩证法
辨证唯物主义	辩证唯物主义
辨证之法	辩证之法
辨症	辨证
辩别	辨别
辩辞	辩词
杓子	勺子
标新立意	标新立异
骠悍	剽悍
飚升	飙升
表出来	标出来
表春气盛	青春气盛
憋脚	蹩脚
别拔	别拨
别别扭忸	别别扭扭
别出心栽	别出心裁
别出新裁	别出心裁
别来无羔	别来无恙
别树一格	别树一帜
别作梦	别做梦
邠县	彬县
宾餞日月	宾饯日月
宾夕凡尼亚	宾西法尼亚
宾夕凡尼亚州	宾夕法尼亚洲
宾西法尼亚	宾夕法尼亚
滨临	濒临
槟樹	槟树
鬓脚	鬓角
冰冻三尺非一日之寒	冰冻三尺，非一日之寒
冰寒於水	冰寒于水
冰块溶化	冰块融化
冰快	冰块
冰壸秋月	冰壶秋月
冰其淋	冰淇淋
冰上巴蕾	冰上芭蕾
冰炭不言冷热自明	冰炭不言，冷热自明
冰天雪窑	冰天雪窖
冰雪消溶	冰雪消融
冰窑	冰窖
冰枝玉杆	冰枝玉干
兵不汙刃	兵不污刃
兵不雪刃	兵不血刃
兵慌马乱	兵荒马乱
兵来将挡，水来土淹	兵来将挡，水来土掩
兵来将挡水来土淹	兵来将挡，水来土掩
兵来将挡水来土掩	兵来将挡，水来土掩
兵连涡结	兵连祸结
兵马未动粮草先行	兵马未动，粮草先行
兵拏祸结	兵弩祸结
丙烯荃	丙烯醛
秉烛夜行	秉烛夜游
禀承	秉承
并驾齐躯	并驾齐驱
并容徧覆	并容遍覆
并题	并提
并行不背	并行不悖
病毒颗	病毒科
病人膏盲	病入膏肓
病入膏荒	病入膏肓
病入膏盲	病入膏肓
拨地摇山	拔地摇山
拨地倚天	拔地倚天
拨犀擢象	拔犀擢象
拨宅上升	拔宅上升
波多黎哥	波多黎各
波澜状阔	波澜壮阔
波浪鼓	拨浪鼓
波浪涛涛	波浪滔滔
波利维亚	玻利维亚
波罗地海	波罗的海
波罗密	波罗蜜
波罗密多	波罗蜜多
波丝菊	波斯菊
波滔滚滚	波涛滚滚
波折号	破折号
玻尔兹曼	波尔兹曼
剥谱	波谱
脖梗儿	脖颈儿
播穅眯目	播糠眯目
伯明罕	伯明翰
伯兹瓦纳	博茨瓦纳
孛理	悖理
孛论	悖论
泊来品	舶来品
勃豀	勃谿
博大经深	博大精深
博览群集	博览群书
博浪鼓	拨浪鼓
博文强记	博闻强记
博文强识	博闻强识
博治	博洽
博治多闻	博洽多闻
薄砂地	薄沙地
薄往细故	薄物细故
薄云见日	拨云见日
簸扬糠粃	簸扬糠秕
庯峭	峬峭
逋峭	峬峭
补钉	补丁
补靪	补丁
补已之短	补己之短
不安份	不安分
不安於室	不安于室
不卑不抗	不卑不亢
不卑不坑	不卑不亢
不贬眼	不眨眼
不贬眼　	不眨眼
不贬眼睛	不眨眼睛
不辨椒麦	不辨菽麦
不辨菽黍	不辨菽麦
不辨黍麦	不辨菽麦
不辩菽麦	不辨菽麦
不變	不变
不齿下问	不耻下问
不偢不倸	不瞅不睬
不大光采	不大光彩
不当之外	不当之处
不纺一试	不妨一试
不分皁白	不分皂白
不分皂分	不分皂白
不奋功夫	不费工夫
不孚众望	不负众望
不负存在	不复存在
不敢想象	不敢想像
不共戴大	不共戴天
不光采	不光彩
不寒而慄	不寒而栗
不寒而粟	不寒而栗
不己	不已
不记其数	不计其数
不加思索	不假思索
不间断电沅	不间断电源
不见棺材不流掉泪	不见棺材不掉泪
不见经付	不见经传
不娇不躁	不骄不躁
不骄不燥	不骄不躁
不较充分	必较充分
不较精细	必较精细
不较直观	必较直观
不较周密	必较周密
不结盟运	不结盟运动
不紧不离	不即不离
不尽长江滚滚流	不尽长江滚滚来
不尽人情	不近人情
不禁意	不经意
不经一事不长一智	不经一事，不长一智
不颈而走	不胫而走
不径而走	不胫而走
不纠	不咎
不看憎面看佛面	不看僧面看佛面
不苛颜笑	不苟言笑
不可遍废	不可偏废
不可撤消	不可撤销
不可调合	不可调和
不可救葯	不可救药
不可明状	不可名状
不可僻免	不可避免
不可思义	不可思议
不可讨究	不可深究
不可想象	不可想像
不肯降伏	不肯降附
不媿下学	不愧下学
不稂不秀	不稂不莠
不露锋铓	不露锋芒
不论什麽	不论什么
不落巢臼	不落窠臼
不买帐	不买账
不明身分	不明身份
不明一钱	不名一钱
不牟名利	不谋名利
不牟私利	不谋私利
不奈烦	不耐烦
不难想象	不难想像
不能想象	不能想像
不能自己	不能自已
不能自恃	不能自持
不期而迂	不期而遇
不欺闇室	不欺暗室
不乾不净	不干不净
不求有功但求无过	不求有功，但求无过
不认帐	不认账
不容分辨	不容分辩
不容置啄	不容置喙
不入虎穴焉得虎子	不入虎穴，焉得虎子
不塞下流	不塞不流
不塞下流，不止不行	不塞不流，不止不行
不塞下流不止不行	不塞不流，不止不行
不胜杯杓	不胜杯勺
不胜桮杓	不胜杯勺
不胜其繁	不胜其烦
不失黍絫	不失黍累
不识庐山真面目只缘身在此山中	不识庐山真面目，只缘身在此山中
不识人体	不识大体
不事不妙	大事不妙
不思好歹	不识好歹
不算光采	不算光彩
不听老人言吃亏在眼前	不听老人言，吃亏在眼前
不瘟不火	不温不火
不问皁白	不问皂白
不务止业	不务正业
不希罕	不稀罕
不息地旋转	不停地旋转
不習地土	不习地土
不習水土	不习水土
不遐	不暇
不陷于	不限于
不象	不像
不象父亲	不像父亲
不象话	不像话
不象样	不像样
不宵	不屑
不宵一顾	不屑一顾
不孝子孙	不肖子孙
不屑置辨	不屑置辩
不幸中的大幸	不幸中之大幸
不脩边幅	不修边幅
不荀	不苟
不荀言笑	不苟言笑
不循私情	不徇私情
不殉私情	不徇私情
不言而明	不言而喻
不言而谕	不言而喻
不厌其繁	不厌其烦
不壹而三	不一而三
不壹而足	不一而足
不遗馀力	不遗余力
不以辞害志	不以辞害意
不以规矩不能成方圆	不以规矩，不能成方圆
不易而论	不易之论
不逾	不渝
不远万理	不远万里
不在其位不谋其政	不在其位，不谋其政
不泽手段	不择手段
不知所错	不知所措
不知有汉何论魏晋	不知有汉，何论魏晋
不值一晒	不值一哂
不致于	不至于
不著边际	不着边际
不自由毋宁死	不自由，毋宁死
不足为外	不足为外人道
不作声	不做声
不手药	不龟手药
布颿无恙	布帆无恙
布榖鸟	布谷鸟
布署	部署
布署已定	部署已定
步履踉伧	步履踉跄
步人正规	步入正轨
步人正轨	步入正轨
步入后尘	步人后尘
步入正规	步入正轨
部份	部分
部暑	部署
部属工作	部署工作
才舒学浅	才疏学浅
材高知深	材高智深
材茂行絜	材茂行洁
材优幹济	材优干济
财礼	彩礼
财务建帐	财务建账
采笔生花	彩笔生花
采灯	彩灯
采凤随鸦	彩凤随鸦
采票债券	彩票债券
采旗招展	彩旗招展
采衣娱亲	彩衣娱亲
睬精	采精
踩高橇	踩高跷
菜兰子工程	菜篮子工程
菜子	菜籽
菜子油	菜籽油
蔡依林	蔡依琳
参禅佛事	参禅事佛
参葺	参茸
参巧文献	参考文献
参予	参与
参预	参与
残膏賸馥	残膏剩馥
残更冷炙	残羹冷炙
残羹冷汁	残羹冷炙
残留影象	残留影像
残槃冷炙	残盘冷炙
残山賸水	残山剩水
残无人道	惨无人道
残渣馀孽	残渣余孽
惨澹	惨淡
惨澹经营	惨淡经营
惨绝人寡	惨绝人寰
惨绝人环	惨绝人寰
惨酷	残酷
惨酷无情	残酷无情
惨遭屠戳	惨遭屠戮
仓猝	仓促
仓庚	鸧鹒
仓海桑田	沧海桑田
仓黄	仓皇
仓遑	仓皇
仓卒	仓促
沧海一栗	沧海一粟
苍黄翻复	苍黄翻覆
苍莽	苍茫
藏龙臣虎	藏龙卧虎
藏天朔	臧天朔
藏之名山传之其人	藏之名山，传之其人
草管	草菅
草管人命	草菅人命
草木葱笼	草木葱茏
草木犀	草木樨
草似的	草拟的
侧臣	侧卧
侧面影象	侧面影像
恻隐之心人皆有之	恻隐之心，人皆有之
畟奸	鸡奸
策画	策划
层层迭迭	层层叠叠
层层绿荫	层层绿阴
层迭	层叠
层见迭出	层见叠出
层峦迭嶂	层峦叠嶂
层峦叠翠	层峦叠嶂
插科打浑	插科打诨
插血为盟	歃血为盟
查对帐目	查对账目
查觉到	察觉到
查良庸	查良镛
查帐	查账
查帐员	查账员
茶毒	荼毒
茶毒生灵	荼毒生灵
茶花会	茶话会
茶色眼睛	茶色眼镜
茶馀饭後	茶余饭后
茶馀酒後	茶余酒后
搽汗	擦汗
察颜观色	察言观色
碴砑山	嵖岈山
奼紫焉红	姹紫嫣红
奼紫嫣红	姹紫嫣红
汊流	岔流
侘憏	侘傺
姹紫焉红	姹紫嫣红
姹紫妍红	姹紫嫣红
差迟	差池
差彊人意	差强人意
差若毫釐，谬以千里	差若毫厘，谬以千里
差透	参透
差透义理	参透义理
差以毫厘失之千里	差以毫厘，失之千里
差之毫厘谬以千里	差之毫厘，谬以千里
差之毫厘失之千里	差之毫厘，失之千里
差之毫氂，失之千里	差之毫厘，失之千里
差之毫釐，谬以千里	差之毫厘，谬以千里
差之毫釐，失之千里	差之毫厘，失之千里
拆帐	拆账
柴高夫斯基	柴科夫斯基
豺死留皮	豹死留皮
搀兑	掺兑
搀和	掺和
搀假	掺假
搀杂	掺杂
搀杂私心	掺杂私心
搀杂在	掺杂在
搀杂着	掺杂着
攙前落後	搀前落后
攙行夺市	搀行夺市
谗涎欲滴	馋涎欲滴
谗言欲滴	馋涎欲滴
蝉腹肠	蝉腹龟肠
蝉翼为重千钧为轻	蝉翼为重，千钧为轻
刬除	铲除
剗草除根	铲草除根
剗恶锄奸	铲恶锄奸
剗旧谋新	铲旧谋新
颤栗	战栗
颤栗者	战栗者
羼杂	掺杂
伥然	怅然
伥然若失	怅然若失
猖撅	猖獗
长备	常备
长备不懈	常备不懈
长春藤	常春藤
长方型	长方形
长江三角州	长江三角洲
长虑顾後	长虑顾后
长虑後顾	长虑后顾
长虑卻顾	长虑却顾
长念卻虑	长念却虑
长篇累犊	长篇累牍
长趋直入	长驱直入
长舌夫	长舌妇
长胜不衰	长盛不衰
长筭远略	长算远略
长他人志气灭自己威风	长他人志气，灭自己威风
长统	长筒
长统袜	长筒袜
长途拔涉	长途跋涉
长途直拔	长途直拨
长袖善午	长袖善舞
长嘘短叹	长吁短叹
长志市	长治市
长住人口	常住人口
长著刺	长着刺
常白山	长白山
常年累月	长年累月
常期性	长期性
常盛不衰	长盛不衰
嚐来嚐去	尝来尝去
场声器	扬声器
惝恍	惝怳
敞开想象	敞开想像
敞蓬车	敞篷车
倡而不和	唱而不和
唱独脚戏	唱独角戏
唱工	唱功
暢叫扬疾	畅叫扬疾
暢所欲为	畅所欲为
暢所欲言	畅所欲言
超凡人圣	超凡入圣
超凡入胜	超凡入圣
超乎想象	超乎想像
超前绝後	超前绝后
超前轶後	超前轶后
巢臼	窠臼
朝成暮徧	朝成暮遍
朝纲崩杯	朝纲崩坏
朝懽暮乐	朝欢暮乐
朝气篷勃	朝气蓬勃
朝乾夕愓	朝乾夕惕
朝秦幕楚	朝秦暮楚
朝三幕四	朝三暮四
朝庭	朝廷
朝闻道夕死可矣	朝闻道，夕死可矣
朝夷暮跖	朝夷暮蹠
朝锺暮鼓	朝钟暮鼓
朝种暮穫	朝种暮获
嘲笑著	嘲笑着
嘲哳	啁哳
潮呼呼	潮乎乎
潮忽忽	潮乎乎
潮天	朝天
潮洲	潮州
吵吵嚷	吵吵嚷嚷
炒手	抄手
车把势	车把式
车箱	车厢
车载斗粮	车载斗量
扯旗放砲	扯旗放炮
撦鼓夺旗	扯鼓夺旗
彻底交待	彻底交代
彻头彻底	彻头彻尾
掣后腿	扯后腿
撤消	撤销
撤消处分	撤销处分
撤消职务	撤销职务
澈底	彻底
瞋目搤腕	嗔目扼腕
瞋目结舌	瞠目结舌
尘垢粃糠	尘垢秕糠
尘土飞杨	尘土飞扬
臣床	卧床
臣床不起	卧床不起
臣倒	卧倒
臣底	卧底
臣房	卧房
臣虎藏龙	卧虎藏龙
臣铺	卧铺
臣式	卧式
臣室	卧室
臣薪尝胆	卧薪尝胆
沉缅	沉湎
沉缅酒色	沉湎酒色
沉缅于	沉湎于
沉砂池	沉沙池
沉鱼落燕	沉鱼落雁
沉著痛快	沉着痛快
辰己午未	辰巳午未
陈词谰调	陈词滥调
陈词烂调	陈词滥调
陈德容	陈德蓉
陈慧姗	陈慧珊
陈加玲	陈嘉玲
陈见飞	陈剑飞
陈年旧帐	陈年旧账
陈年老帐	陈年老账
陈述原由	陈述缘由
陈帐	陈账
踸踔	趻踔
称目结舌	瞠目结舌
称钱	趁钱
称体载衣	称体裁衣
称心满原	称心满愿
趁风使船	趁风使舵
趁风使柁	趁风使舵
趁夥打劫	趁伙打劫
趁心	称心
趁心如意	称心如意
趁心像意	称心像意
趁意	称意
铛铛	当当
撑竿跳	撑杆跳
撑竿跳高	撑杆跳高
瞠乎後已	瞠乎后已
瞠乎後矣	瞠乎后矣
瞠乎其後	瞠乎其后
瞠呼其后	瞠乎其后
瞠目洁舌	瞠目结舌
成份	成分
成份不好	成分不好
成份指数	成分指数
成气侯	成气候
成群打夥	成群打伙
成群结夥	成群结伙
成人不自在自在不成人	成人不自在，自在不成人
成事不足败事有余	成事不足，败事有余
成团打塊	成团打块
成想	承想
成象	成像
成效卓着	成效卓著
成也萧何败也萧何	成也萧何，败也萧何
成也肖何	成也萧何
成荫	成阴
成语辞典	成语词典
成则为王败则为贼	成则为王，败则为贼
承前启後	承前启后
承上启后	承上启下
承上起下	承上启下
承天之祐	承天之佑
承先启後	承先启后
城濠	城壕
城门立雪	程门立雪
城门失火殃及池鱼	城门失火，殃及池鱼
乘兴而来败兴而归	乘兴而来，败兴而归
乘兴而往败兴而归	乘兴而往，败兴而归
惩前毖後	惩前毖后
惩前毙后	惩前毖后
惩一警百	惩一儆百
程硃理学	程朱理学
程硃学派	程朱学派
程硃之学	程朱之学
澄彻	澄澈
逞工衒巧	逞工炫巧
逞奇眩异	逞奇炫异
秤不离铊	秤不离砣
吃工夫	吃功夫
吃里扒外	吃里爬外
吃衣著饭	着衣吃饭
吃斋唸佛	吃斋念佛
鸱枭	鸱鸮
痴男騃女	痴男呆女
痴心忘想	痴心妄想
痴云騃雨	痴云呆雨
螭鬽魍魉	螭魅魍魉
驰聘	驰骋
驰聘疆场	驰骋疆场
持强好胜	恃强好胜
持之一恒	持之以恒
持之以恆	持之以恒
踟躇	踟蹰
踟躇不前	踟蹰不前
尺蚓穿堤能漂一邑	尺蚓穿堤，能漂一邑
尺有所短寸有所长	尺有所短，寸有所长
侈糜	侈靡
齿白脣红	齿白唇红
齿牙馀惠	齿牙余惠
齿牙馀慧	齿牙余慧
齿牙馀论	齿牙余论
耻居王後	耻居王后
叱诧风云	叱咤风云
叱吒风云	叱咤风云
赤博	赤膊
赤博上阵	赤膊上阵
赤搏	赤膊
赤搏上阵	赤膊上阵
赤祼祼	赤裸裸
充分想象	充分想像
冲破樊离	冲破樊篱
冲帐	冲账
冲值卡	充值卡
崇论宏议	崇论闳议
崇论闳论	崇论闳议
蟲臂拒辙	虫臂拒辙
蟲臂鼠肝	虫臂鼠肝
蟲鸣螽跃	虫鸣螽跃
蟲沙猿鹤	虫沙猿鹤
蟲书鸟迹	虫书鸟迹
蟲书鸟篆	虫书鸟篆
蟲言鸟迹	虫言鸟迹
蟲叶成字	虫叶成字
抽功夫	抽工夫
抽祕骋妍	抽秘骋妍
抽苔	抽薹
抽象蒙眬	抽象朦胧
抽噎	抽咽
抽绎	䌷绎
紬绎	䌷绎
仇仇	仇雠
仇定	雠定
仇人相见分外眼红	仇人相见，分外眼红
绸谬	绸缪
畴类	俦类
愁躇	踌躇
愁躇满志	踌躇满志
稠缎	绸缎
稠人广座	稠人广坐
稠子	绸子
筹画	筹划
筹马	筹码
酬躇满志	踌躇满志
踌躇滿志	踌躇满志
踌蹰	踌躇
臭名招著	臭名昭著
臭名昭着	臭名昭著
臭名诏著	臭名昭著
臭气薰天	臭气熏天
出锋头	出风头
出类拔粹	出类拔萃
出类拔翠	出类拔萃
出谋画策	出谋划策
出那	出纳
出奇不意	出其不意
出奇致胜	出奇制胜
出去口看	出去看看
出人意味地	出人意料的
出神入画	出神入化
出师不力	出师不利
