汉字	拼音	频率	国家
仒	bing	1	未详
嚸	dian	0	未详
乊	yi	0	未详
硛	ceok	0	未详
銰	ai	0	未详
螦	sao	0	日文
厑	ya	24	韩文
罖	ra	0	韩文
乤	xia	0	韩文
乥	hol	0	未详
乫	jia	0	韩文
乬	jv	0	韩文
乭	shi	0	韩文
乮	mol	0	韩文
乯	hu	0	韩文
乲	cal	0	韩文
乶	fu	0	韩文
乺	suo	0	韩文
乻	yu	0	韩文
乽	zhe	0	韩文
兺	bun	0	韩文
匁	wenmu	0	日文
厼	keum	0	韩文
叾	du	0	未详
哛	ppun	0	韩文
唜	mas	0	韩文
唟	keos	0	韩文
喸	phos	0	韩文
嗭	zi	0	韩文
囕	ramo	0	韩文
夞	oes	0	韩文
岾	zhan	0	韩文
巪	ju	0	韩文
巼	phas	0	韩文
廤	ku	0	韩文
怾	gi	0	韩文
旀	mei	0	韩文
旕	eos	0	韩文
朰	teul	0	韩文
栍	saeng	0	韩文
桛	kasei	0	日文
椧	myeong	2	韩文
毮	sha	0	日文
烪	zhen	0	未详
猠	ceon	0	韩文
硳	ceok	0	韩文
穒	kweok	0	日文
縇	seon	0	韩文
莻	neus	0	韩文
蒊	hua	0	韩文
虄	sal	0	韩文
袰	bo	0	日文
襨	tae	0	韩文
闏	phdeng	0	韩文
霻	feng	0	日文
			
